name;money;skill;cheat;awarness
Invest964;1033;52;58;16
Invest588;503;33;71;30
Invest74;740;36;67;5
Invest32;87;9;72;62
Invest546;2211;85;94;1
Invest907;1122;52;97;64
Invest983;100;11;74;42
Invest856;1049;65;1;70
Invest914;179;24;27;65
Invest67;1209;71;18;82
Invest419;1743;69;75;21
Invest940;319;29;14;66
Invest120;1400;83;41;56
Invest300;1535;94;28;46
Invest357;2874;90;96;54
Invest806;2176;89;97;12
Invest689;1508;56;97;2
Invest217;570;39;32;100
Invest929;95;18;56;67
Invest243;1205;50;95;32
Invest361;1583;98;18;5
Invest89;980;50;56;73
Invest260;1091;72;3;85
Invest832;77;3;4;11
Invest383;1201;57;54;64
Invest882;761;50;11;96
Invest733;468;24;89;90
Invest592;957;48;69;96
Invest282;1349;86;28;72
Invest878;751;52;39;90
Invest318;1386;86;20;3
Invest626;1352;60;66;42
Invest256;76;16;83;47
Invest705;2443;78;95;50
Invest693;78;20;6;21
Invest755;1805;75;75;35
Invest344;81;4;72;12
Invest781;1254;58;97;23
Invest933;1508;56;86;53
Invest632;2260;90;56;98
Invest221;554;38;36;78
Invest828;2336;92;72;97
Invest731;66;12;48;39
Invest825;1592;89;46;33
Invest379;2800;86;100;35
Invest101;369;30;49;34
Invest499;1265;53;88;85
Invest680;1621;77;77;6
Invest167;1862;87;56;23
Invest518;59;18;96;7
Invest800;50;4;83;71
Invest373;873;57;42;27
Invest45;1963;74;61;91
Invest433;1288;54;95;98
Invest765;99;4;89;68
Invest20;660;41;44;67
Invest740;556;39;31;6
Invest126;597;33;76;17
Invest971;647;33;69;18
Invest926;1156;73;40;90
Invest142;1027;69;1;62
Invest570;1560;89;24;99
Invest799;934;67;17;85
Invest919;96;19;32;64
Invest13;538;32;65;72
Invest841;39;12;75;72
Invest86;98;21;45;6
Invest534;311;25;79;5
Invest671;1063;37;100;71
Invest772;2547;88;91;65
Invest619;1558;91;21;65
Invest458;1635;98;3;49
Invest79;666;45;59;50
Invest90;91;18;69;87
Invest9;1149;50;88;29
Invest527;36;13;4;53
Invest635;1123;72;13;57
Invest758;1944;78;66;94
Invest303;1137;44;99;60
Invest664;3070;87;97;91
Invest227;2329;93;89;88
Invest563;915;44;62;85
Invest380;1912;66;80;86
Invest426;2193;80;96;84
Invest575;786;51;49;99
Invest297;991;47;97;64
Invest901;2639;87;66;93
Invest698;551;34;49;48
Invest174;1586;98;10;63
Invest623;1344;84;23;55
Invest474;459;35;15;29
Invest325;308;22;82;29
Invest202;98;24;41;45
Invest559;431;24;53;8
Invest736;1198;80;45;35
Invest597;1247;68;6;51
Invest859;77;13;22;60
Invest398;40;12;45;100
Invest873;1576;59;81;41
Invest61;98;6;48;41
Invest500;83;4;95;49
Invest190;79;19;31;37
Invest996;359;28;8;28
Invest440;1129;50;89;62
Invest601;461;39;55;36
Invest616;864;48;51;97
Invest310;2062;87;51;1
Invest895;1072;64;21;3
Invest724;1159;73;25;24
Invest923;87;6;80;97
Invest582;94;17;80;40
Invest83;1527;74;97;88
Invest948;727;47;14;50
Invest496;714;41;90;94
Invest130;314;25;89;42
Invest250;1709;61;96;63
Invest888;79;16;2;32
Invest556;1646;82;52;8
Invest376;66;12;33;40
Invest57;962;62;46;51
Invest642;626;43;47;97
Invest803;1014;72;13;21
Invest822;95;23;44;60
Invest249;681;44;43;32
Invest702;793;48;21;17
Invest974;1168;53;69;79
Invest123;3037;95;79;98
Invest657;1011;66;41;92
Invest224;1083;53;58;74
Invest683;61;17;28;83
Invest189;980;61;1;30
Invest541;1177;77;45;65
Invest515;61;3;82;16
Invest904;89;6;86;25
Invest818;80;14;2;63
Invest104;2364;98;65;23
Invest721;98;26;22;31
Invest411;2451;79;91;15
Invest369;820;39;64;55
Invest844;519;29;67;4
Invest967;544;33;23;56
Invest993;79;5;81;76
Invest145;2782;95;81;74
Invest870;72;20;68;68
Invest38;983;63;36;72
Invest930;623;34;78;42
Invest395;69;6;75;70
Invest268;66;8;28;55
Invest481;829;37;70;98
Invest354;539;25;96;64
Invest205;1199;75;4;45
Invest328;70;18;92;39
Invest231;332;29;77;24
Invest306;76;7;14;70
Invest429;22;2;83;17
Invest332;60;2;16;93
Invest989;85;17;16;96
Invest64;65;18;61;12
Invest866;1927;71;91;53
Invest455;1362;56;85;9
Invest119;275;33;27;4
Invest892;2439;98;56;33
Invest272;754;37;62;38
Invest16;929;49;58;54
Invest578;738;29;89;96
Invest717;2604;90;97;87
Invest743;674;38;74;44
Invest620;532;33;41;28
Invest275;357;28;6;58
Invest294;259;24;13;84
Invest42;680;48;8;92
Invest262;661;37;87;19
Invest782;911;46;56;27
Invest787;986;61;28;93
Invest219;1413;84;50;100
Invest171;1167;69;11;51
Invest143;1679;71;73;82
Invest663;64;4;48;86
Invest858;68;20;4;71
Invest338;661;41;32;46
Invest739;60;21;58;92
Invest287;972;45;53;17
Invest87;1483;95;41;98
Invest714;430;28;52;20
Invest920;2497;88;69;41
Invest381;942;60;7;65
Invest62;1524;75;57;23
Invest400;1491;89;49;41
Invest230;958;63;37;63
Invest826;1224;56;67;51
Invest894;1544;70;76;74
Invest569;977;50;71;54
Invest19;48;3;90;5
Invest508;411;33;47;85
Invest150;2596;100;62;24
Invest945;2623;84;83;96
Invest457;558;45;40;73
Invest477;2340;80;90;13
Invest707;2635;88;68;83
Invest695;629;43;6;50
Invest833;933;47;57;78
Invest512;15;12;7;3
Invest136;97;17;17;93
Invest952;76;5;7;66
Invest688;845;53;16;91
Invest775;86;21;25;3
Invest984;955;41;81;37
Invest840;2540;82;85;8
Invest913;1470;61;96;21
Invest399;643;33;81;24
Invest94;1199;73;22;36
Invest576;2016;73;97;93
Invest537;1110;66;32;62
Invest746;1762;67;63;94
Invest602;97;11;70;59
Invest226;85;15;85;53
Invest114;29;14;29;97
Invest862;98;17;52;33
Invest201;98;14;88;53
Invest425;522;36;8;82
Invest750;2355;88;84;82
Invest374;1191;53;85;10
Invest801;2940;96;87;12
Invest624;54;11;12;37
Invest58;750;34;70;12
Invest313;2426;85;87;47
Invest248;717;36;57;1
Invest897;620;44;43;45
Invest909;633;42;47;85
Invest551;395;30;5;74
Invest659;1245;78;28;71
Invest428;706;42;10;98
Invest471;773;49;18;43
Invest804;92;11;58;58
Invest129;849;45;85;39
Invest999;74;11;67;6
Invest291;69;6;52;92
Invest711;91;16;67;94
Invest172;94;25;44;42
Invest284;1353;66;82;50
Invest660;1145;74;12;42
Invest505;734;49;13;85
Invest223;492;34;24;39
Invest486;13;18;48;26
Invest258;98;17;23;46
Invest819;87;23;46;16
Invest583;79;5;39;35
Invest641;447;27;83;49
Invest522;632;36;61;97
Invest634;68;18;96;56
Invest656;2851;96;92;64
Invest768;3315;96;100;24
Invest865;944;38;77;85
Invest342;1322;82;50;97
Invest26;571;36;27;93
Invest175;1888;79;97;25
Invest891;1603;97;30;98
Invest320;491;34;17;88
Invest335;417;30;51;72
Invest489;875;55;29;82
Invest316;684;29;74;25
Invest309;995;42;61;1
Invest938;21;9;33;60
Invest467;809;54;10;30
Invest410;50;2;85;94
Invest729;2023;80;94;30
Invest955;467;41;27;54
Invest493;591;33;62;58
Invest617;329;28;64;69
Invest981;1438;93;35;80
Invest916;1803;81;64;68
Invest977;1650;98;9;69
Invest637;902;57;20;88
Invest887;1426;85;49;98
Invest756;2900;85;86;100
Invest236;556;35;34;3
Invest36;875;61;37;19
Invest483;91;4;47;65
Invest323;65;8;13;97
Invest330;86;16;19;40
Invest389;873;41;75;77
Invest621;1565;70;56;6
Invest561;1566;98;43;41
Invest192;57;16;66;6
Invest364;536;37;20;33
Invest669;796;51;31;38
Invest830;1300;48;57;12
Invest48;1272;78;48;22
Invest590;777;53;32;41
Invest868;368;27;9;47
Invest454;853;49;55;85
Invest749;84;10;91;87
Invest204;1293;82;49;60
Invest823;638;32;75;95
Invest23;1160;73;43;37
Invest753;1438;85;21;60
Invest146;1538;82;21;52
Invest435;1488;92;10;15
Invest377;3092;100;90;62
Invest579;553;44;28;97
Invest91;1594;76;58;73
Invest11;1621;99;49;81
Invest111;400;27;29;2
Invest595;882;59;37;52
Invest797;1808;67;66;53
Invest432;1144;63;38;66
Invest843;1558;66;66;83
Invest65;1322;77;25;31
Invest544;1171;73;32;32
Invest168;1496;71;59;92
Invest52;1982;82;78;3
Invest133;1631;95;17;97
Invest987;305;26;46;45
Invest502;1639;97;14;96
Invest29;1707;81;71;45
Invest678;935;60;26;3
Invest408;501;44;20;34
Invest525;1378;85;36;74
Invest140;569;40;97;89
Invest84;399;28;86;54
Invest809;22;8;58;11
Invest763;1750;97;34;45
Invest785;1763;71;71;8
Invest958;1120;51;83;31
Invest348;92;12;89;83
Invest846;1468;58;85;68
Invest326;86;1;2;85
Invest872;1612;92;50;71
Invest547;2713;98;61;4
Invest962;1645;95;29;78
Invest479;53;23;89;99
Invest573;67;8;38;83
Invest719;92;15;98;39
Invest932;823;56;17;64
Invest299;51;16;32;61
Invest40;1894;99;1;78
Invest207;843;53;22;42
Invest838;581;40;57;65
Invest438;1208;76;26;32
Invest760;80;9;14;31
Invest319;97;8;88;11
Invest405;2603;93;95;50
Invest371;88;20;7;12
Invest195;81;18;67;15
Invest644;1119;71;20;50
Invest554;96;19;58;91
Invest255;84;26;61;88
Invest666;2691;84;95;100
Invest670;63;15;69;66
Invest77;97;4;97;36
Invest233;60;21;36;89
Invest420;807;50;45;21
Invest466;1181;64;65;32
Invest441;2173;85;95;41
Invest773;100;5;78;16
Invest817;87;19;91;41
Invest517;61;6;9;77
Invest203;76;3;34;36
Invest304;59;11;9;57
Invest159;73;9;33;24
