Invest139;64;64;64;70;68;100;38;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96;100;96;96;96;96;96;100;100;68;100;100;100;100;100;100;100;100;97;100;100;96;96;96;100;100;100
Invest50;70;70;70;68;68;79;80;100;87;87;87;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;97;100;100;100;98;100;100;100;100;100;100;100;100;100;100;100;96;98;68;96;100;100;96;100
Invest38;23;100;85;85;85;64;64;4;96;32;64;100;96;96;36;100;100;100;100;100;36;100;100;100;100;100;100;99;99;99;99;99;99;99;100;100;100;100;96;96;96;96;96;100;68;68;100;96;96;100
Invest145;36;36;36;36;100;75;100;77;77;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;98;36;100;100;100;100;100;100;100;100;100;68;100;100;100;100;100;100;100;100;100;100;100;96;100;68
Invest223;39;39;39;16;16;16;16;16;16;85;85;99;99;99;36;36;100;100;100;100;100;100;100;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;100;100;100;100;100;100
Invest65;11;11;100;53;100;100;100;96;96;36;100;100;100;100;100;100;97;97;97;100;100;100;100;68;100;100;100;100;100;100;100;100;100;68;100;100;100;100;100;100;96;96;96;100;100;100;100;100;100;97
Invest71;57;30;100;60;28;52;75;75;75;75;22;22;100;100;100;100;100;100;100;100;100;100;100;100;70;68;36;4;4;97;100;68;97;68;32;100;100;100;100;36;100;68;96;97;97;97;97;96;96;96
Invest23;86;86;82;100;92;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68;68;100;100;100;100;100;100;100;100;100;100;100;100;100;64;68;96;96;96;100;36;100;100;68;100;100
Invest166;55;82;82;82;4;4;93;93;93;93;93;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;96;96;96
Invest238;20;100;49;49;49;0;68;36;32;100;68;100;100;100;4;100;100;100;20;64;100;100;100;100;100;96;96;96;96;96;96;96;96;96;100;100;100;100;100;100;100;100;100;100;100;36;100;100;96;100
Invest124;16;66;66;88;4;89;70;34;34;34;100;100;100;100;100;100;68;100;100;100;100;100;100;36;64;36;100;100;100;100;100;100;100;100;100;100;100;100;96;96;96;100;100;100;100;96;68;100;100;100
Invest32;51;51;100;100;96;88;4;21;21;100;100;100;100;99;36;100;68;100;100;100;36;100;64;36;36;96;36;1;100;100;100;100;100;100;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest133;81;81;81;81;81;81;81;81;100;68;96;100;100;100;100;100;100;100;100;36;100;98;70;36;36;68;100;36;36;100;100;100;100;100;36;100;100;100;100;100;100;100;36;36;36;36;96;96;96;96
