Invest12;80;80;80;83;22;20;20;96;100;68;96;96;97;97;97;97;97;97;97;97;36;36;36;36;100;68;96;32;100;100;68;100;100;100;98;100;100;36;100;100;36;100;100;96;100;37;36;100;100;100
Invest33;45;100;100;100;100;76;76;76;76;76;100;100;64;100;68;100;96;100;100;100;96;100;96;36;68;100;35;100;100;96;100;100;96;36;100;100;100;100;100;96;68;68;100;100;96;36;36;100;68;100
Invest60;69;69;69;9;13;13;13;13;100;100;100;36;100;68;96;100;100;96;100;68;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest69;39;80;8;8;100;68;68;68;100;68;100;100;36;100;100;100;100;96;100;100;100;100;68;68;100;66;32;100;100;100;96;36;100;96;100;96;100;100;96;96;96;96;100;100;100;68;100;100;100;100
Invest27;42;90;90;100;100;84;68;100;68;100;86;100;68;68;100;100;100;100;100;100;100;100;36;97;100;36;36;100;68;100;100;100;100;100;100;100;100;68;100;100;100;100;100;100;100;100;100;100;100;100
Invest15;21;100;100;100;80;80;80;80;80;80;36;100;100;36;100;100;100;100;100;100;96;100;97;96;100;36;100;68;68;96;100;100;100;96;68;100;100;96;100;68;100;100;96;96;4;36;100;96;100;100
Invest42;94;94;100;100;0;0;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest98;68;93;34;34;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36
Invest21;7;7;77;77;77;36;100;100;100;81;96;100;100;100;96;100;68;68;100;100;96;36;4;100;100;34;100;68;100;100;100;68;100;100;36;100;100;96;36;100;100;100;100;100;100;100;100;100;100;100
Invest36;47;47;100;99;5;5;48;100;86;100;66;85;100;36;100;100;100;100;100;100;100;100;36;68;64;68;100;64;98;100;96;68;100;100;100;100;100;100;100;100;100;100;98;68;100;96;100;100;100;100
Invest3;87;50;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest18;46;83;83;100;100;30;100;96;96;96;96;96;96;96;96;96;96;96;96;96;96;36;100;96;96;100;96;34;35;36;68;100;100;100;100;100;100;96;96;100;96;68;100;100;100;100;100;100;100;100
Invest24;85;62;89;89;89;89;100;86;36;100;100;100;100;64;100;100;100;97;100;98;100;100;100;100;96;100;100;100;100;100;100;100;68;100;68;100;100;96;100;68;100;100;100;100;100;100;100;100;100;100
Invest86;19;100;100;70;70;70;70;70;68;100;68;4;100;100;68;96;100;96;96;100;96;100;100;68;100;68;100;64;100;68;100;100;100;100;100;100;100;100;100;96;68;100;100;96;68;96;100;100;100;100
Invest92;37;84;76;76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68;100;36;100;96;100;100;100;100;68;100;32;100;100;100;100;96;100;100;96;96;100;100;100;68;96
Invest6;23;22;66;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;36;100;100;100;100;100;100;36
Invest74;90;90;90;85;100;100;100;100;100;100;100;68;100;100;100;100;32;100;96;100;96;68;100;36;68;100;100;100;100;96;100;100;36;100;100;100;100;100;100;100;96;36;96;100;100;100;100;100;100;100
Invest68;67;67;81;81;86;12;70;100;96;96;32;96;100;100;100;100;100;68;36;36;100;68;100;100;100;100;68;96;100;100;68;96;36;36;100;100;68;100;100;68;100;68;100;100;100;100;100;100;100;36
Invest95;72;72;72;89;96;34;68;68;96;36;36;36;100;100;100;100;100;100;100;100;100;100;68;100;34;100;100;100;96;64;100;100;36;100;68;100;100;100;96;100;36;100;100;100;100;100;100;100;100;100
Invest89;84;84;84;100;100;100;100;68;32;35;100;36;68;100;100;68;100;100;100;100;100;36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest80;99;99;99;36;100;12;100;100;100;100;100;100;100;68;97;100;100;100;100;100;100;100;100;100;100;100;32;100;100;100;96;36;100;96;100;100;100;36;100;96;100;100;100;100;100;100;96;96;100;100
Invest83;31;81;81;81;81;68;100;96;100;92;100;100;67;100;96;100;100;100;100;100;96;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Invest41;59;59;100;100;100;100;68;100;64;100;96;100;96;100;36;36;96;68;100;100;100;96;36;100;100;100;100;100;100;100;68;100;100;100;36;32;36;100;96;100;100;36;100;68;100;36;100;96;100;96
Invest77;14;67;52;52;100;100;22;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;32;100;100;100;100;100;100;100;100;100
Invest62;57;57;69;84;84;84;84;65;100;100;0;68;100;100;100;100;100;100;100;97;100;100;68;36;100;100;100;100;68;100;98;36;36;96;100;36;100;36;68;96;68;36;96;100;100;68;100;100;96;100
